image_name,labeled_objects,image_path
image_1478.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1478.jpg
image_2655.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2655.jpg
image_2729.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2729.jpg
image_852.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_852.jpg
image_38.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_38.jpg
image_2604.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2604.jpg
image_2633.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2633.jpg
image_2585.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2585.jpg
image_2552.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2552.jpg
image_2637.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2637.jpg
image_1281.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_1281.jpg
image_1517.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_1517.jpg
image_2159.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2159.jpg
image_2161.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2161.jpg
image_2550.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2550.jpg
image_2616.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2616.jpg
image_2158.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2158.jpg
image_760.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_760.jpg
image_1604.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_1604.jpg
image_1885.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_1885.jpg
image_872.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_872.jpg
image_2589.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2589.jpg
image_2511.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2511.jpg
image_615.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_615.jpg
image_562.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_562.jpg
image_1206.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1206.jpg
image_2689.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_2689.jpg
image_561.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_561.jpg
image_2653.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2653.jpg
image_2785.jpg,"['Animation','Politics']",C:\Users\arjit\models\research\object_detection\test_images2\image_2785.jpg
image_1575.jpg,['Education'],C:\Users\arjit\models\research\object_detection\test_images2\image_1575.jpg
image_2100.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_2100.jpg
image_2372.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_2372.jpg
image_2512.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2512.jpg
image_2619.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2619.jpg
image_817.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_817.jpg
image_753.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_753.jpg
image_2688.jpg,['Eduction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2688.jpg
image_677.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_677.jpg
image_310.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_310.jpg
image_1188.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_1188.jpg
image_1527.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_1527.jpg
image_1925.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_1925.jpg
image_2700.jpg,['Education'],C:\Users\arjit\models\research\object_detection\test_images2\image_2700.jpg
image_2579.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2579.jpg
image_2610.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2610.jpg
image_2553.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2553.jpg
image_2285.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2285.jpg
image_1126.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_1126.jpg
image_1183.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_1183.jpg
image_2518.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2518.jpg
image_2662.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2662.jpg
image_313.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_313.jpg
image_966.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_966.jpg
image_1883.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1883.jpg
image_1246.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1246.jpg
image_1881.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1881.jpg
image_2523.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2523.jpg
image_2564.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2564.jpg
image_292.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_292.jpg
image_2542.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2542.jpg
image_2546.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2546.jpg
image_2527.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2527.jpg
image_354.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_354.jpg
image_2521.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2521.jpg
image_2630.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2630.jpg
image_2059.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_2059.jpg
image_2504.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2504.jpg
image_2524.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2524.jpg
image_2545.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2545.jpg
image_2559.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2559.jpg
image_2586.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2586.jpg
image_2608.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2608.jpg
image_2614.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2614.jpg
image_2631.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2631.jpg
image_2641.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2641.jpg
image_2643.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_2643.jpg
image_1175.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_1175.jpg
image_1236.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_1236.jpg
image_1862.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1862.jpg
image_181.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_181.jpg
image_205.jpg,['Fiction'],C:\Users\arjit\models\research\object_detection\test_images2\image_205.jpg
image_1484.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_1484.jpg
image_1092.jpg,['Animation'],C:\Users\arjit\models\research\object_detection\test_images2\image_1092.jpg
image_317.jpg,['Social'],C:\Users\arjit\models\research\object_detection\test_images2\image_317.jpg
image_625.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_625.jpg
image_542.jpg,['Animal'],C:\Users\arjit\models\research\object_detection\test_images2\image_542.jpg
